content,score,sentiment,clean
APK JELEK HARUS DI UPDATE MULU,1,negatif,apk jelek harus di update mulu
ok,5,positif,ok
mengganggu,1,negatif,mengganggu
bagus,5,positif,bagus
luar biasa,5,positif,luar biasa
ok,5,positif,ok
cepat sekali,5,positif,cepat sekali
"KENAPA SERING BANYAK BUG,SERING SERVER TIME OUT,SERING GANGGUAN",2,negatif,kenapa sering banyak bugsering server time outsering gangguan
"gak pernah dikasih gratis ongkir selalu bayar ongkir mau beli minyak ongkirnya diatas 20ribu,beli kopi ongkirnya 10ribu",1,negatif,gak pernah dikasih gratis ongkir selalu bayar ongkir mau beli minyak ongkirnya diatas ribubeli kopi ongkirnya ribu
muncul setiap menit dan mengganggu,1,negatif,muncul setiap menit dan mengganggu
ok,5,positif,ok
selalu membantu dalam hal oembelanjaan. transaksi lebih mudah,5,positif,selalu membantu dalam hal oembelanjaan transaksi lebih mudah
mantab,5,positif,mantab
"sekarang kupon hanya gimik doang, dan pembelian obat asma dibatasi 1 doang, kelihatan banget mau jualan resep kedepannya, makin liberal aja",1,negatif,sekarang kupon hanya gimik doang dan pembelian obat asma dibatasi doang kelihatan banget mau jualan resep kedepannya makin liberal aja
mantap,5,positif,mantap
"iklannya menyebalkan, nanti apl Toped di HP saya akan saya buang semua, termasuk gojekny@. saya akan beralih ke grab saja. muak dg iklannya.",1,negatif,iklannya menyebalkan nanti apl toped di hp saya akan saya buang semua termasuk gojekny saya akan beralih ke grab saja muak dg iklannya
lumayan tapi tolong di tingkatkan lagi dalam pengiriman nya🙏,4,positif,lumayan tapi tolong di tingkatkan lagi dalam pengiriman nya
"""Aplikasi Tokopedia sangat membantu banget buat jualan saya! Sistemnya gampang, pesanan cepat masuk, dan saldo bisa langsung dicairin. Produk saya laku banyak karena promosi di sini juga baik. Sangat direkomendasikan buat yang mau mulai bisnis online!""",5,positif,aplikasi tokopedia sangat membantu banget buat jualan saya sistemnya gampang pesanan cepat masuk dan saldo bisa langsung dicairin produk saya laku banyak karena promosi di sini juga baik sangat direkomendasikan buat yang mau mulai bisnis online
bgus,5,positif,bgus
Marlet place terpercaya untuk berbelanja,5,positif,marlet place terpercaya untuk berbelanja
akun dibatasi sepihak,1,negatif,akun dibatasi sepihak
"aplikasinya error atau bug, belanja nominalnya dipakaikan kupon diskon, bukannya harga makin murah malah harganya bertambah",1,negatif,aplikasinya error atau bug belanja nominalnya dipakaikan kupon diskon bukannya harga makin murah malah harganya bertambah
aplikasi gak jelas,5,positif,aplikasi gak jelas
udah hampir sebulan ini selalu gagal dalam transaksi tagihan... hadehhh selalu begini..,1,negatif,udah hampir sebulan ini selalu gagal dalam transaksi tagihan hadehhh selalu begini
tokopedia IST the best,5,positif,tokopedia ist the best
"Tokped pelayananya jelek, banyak penjual ga jelas, masa setiap beli barang sudah terbayarkan di cancel tetapi alasan cancel ga jelas. Bubarkan saja platform ini kalau mau ngerjain costumer.",1,negatif,tokped pelayananya jelek banyak penjual ga jelas masa setiap beli barang sudah terbayarkan di cancel tetapi alasan cancel ga jelas bubarkan saja platform ini kalau mau ngerjain costumer
lagi belajar hoax nih tokped Di iming2 Voucher 800K suruh belanja 2 item ehh pas udah di ikutin Kaga nongol2 voucher nya Udah brpa orang yng kena tipu Promosi Risih chat CS nya balesannya pengecekan maaf2 Mulu,1,negatif,lagi belajar hoax nih tokped di iming voucher k suruh belanja item ehh pas udah di ikutin kaga nongol voucher nya udah brpa orang yng kena tipu promosi risih chat cs nya balesannya pengecekan maaf mulu
ya bagus cepat antar,5,positif,ya bagus cepat antar
mantap,5,positif,mantap
mantap Tokopedia,5,positif,mantap tokopedia
AI bodoh. aplikasi bodoh . krna tergantung Al.,1,negatif,ai bodoh aplikasi bodoh krna tergantung al
mantaff pokoknya,5,positif,mantaff pokoknya
Aneh banget masa saya mau beli HP gabisa kena masalah promo mulu.,1,negatif,aneh banget masa saya mau beli hp gabisa kena masalah promo mulu
"Saya sudah lama tidak berbelanja tetapi hari² ini saya mendapat undangan untuk mengikuti acara belanja dibayarin ""Keren"" Semoga berkah. Terima kasih. Salam",5,positif,saya sudah lama tidak berbelanja tetapi hari ini saya mendapat undangan untuk mengikuti acara belanja dibayarin keren semoga berkah terima kasih salam
mantap n sangat berguna banget bagi saya dan keluarga terutama,5,positif,mantap n sangat berguna banget bagi saya dan keluarga terutama
Tambahkan Diskon & terus mudahkan Customer.,5,positif,tambahkan diskon terus mudahkan customer
mantap,5,positif,mantap
ok,5,positif,ok
sumpah ya baru kemarin gw update buat beli obat jerawat ttp gabisa jir di checkout gajelas bgt di apk. mending di apk oren leboh gampang mana udh di monopoli kan barang salep dokter cmn bisa di apk ini doang tp apk nya gjls gw gbisa checkout beneran. Ada aja kendalanya mana skrg hrs di update lg. Update mlu anjg,1,negatif,sumpah ya baru kemarin gw update buat beli obat jerawat ttp gabisa jir di checkout gajelas bgt di apk mending di apk oren leboh gampang mana udh di monopoli kan barang salep dokter cmn bisa di apk ini doang tp apk nya gjls gw gbisa checkout beneran ada aja kendalanya mana skrg hrs di update lg update mlu anjg
menggangu,1,negatif,menggangu
"setiap liat video suka muncul mulu dah, cape dah an***g, AWAS MUNCUL LAGI LUU SETAN",1,negatif,setiap liat video suka muncul mulu dah cape dah ang awas muncul lagi luu setan
lebih bagus lazada,2,negatif,lebih bagus lazada
"di deskripsi tertera 4pcs produk tp yg dikirim hnya 1pcs saja sdh komplain ajukan retur tp yg menang seller pdhal bukti unboxing dll udh lengkap,gbkal co lg di Tokped sm toko ""Octarine Perfume""",1,negatif,di deskripsi tertera pcs produk tp yg dikirim hnya pcs saja sdh komplain ajukan retur tp yg menang seller pdhal bukti unboxing dll udh lengkapgbkal co lg di tokped sm toko octarine perfume
mantap,5,positif,mantap
Jelek promonya hilang pas mau check out,1,negatif,jelek promonya hilang pas mau check out
aplikasinya sering lag,5,positif,aplikasinya sering lag
"aplikasi sampah, kapok mesen ditokoped vangkee gw beli buku kosong terus mau cancel gaada tombol batalkan pesanan?? inii gimana satt, manaa admin segala narik nya padahal kenapa ga balikin ke rek awal ajaa si kek aplikasi oren, mending jangan pake ni aplikasi",1,negatif,aplikasi sampah kapok mesen ditokoped vangkee gw beli buku kosong terus mau cancel gaada tombol batalkan pesanan inii gimana satt manaa admin segala narik nya padahal kenapa ga balikin ke rek awal ajaa si kek aplikasi oren mending jangan pake ni aplikasi
"karena ada ditiktok, sebenarnya ada e-commerce lain",5,positif,karena ada ditiktok sebenarnya ada ecommerce lain
mudah dan cepat,5,positif,mudah dan cepat
hati hati klo di aplikasi ini banyak penipuan,1,negatif,hati hati klo di aplikasi ini banyak penipuan
saat melihat ulasan belanjaan saya pilih filter contoh(bintang 1 atau 2) saat saya scroll ke bawah malah muncul bintang yang bukan saya pilih filter nya kalau shopee bisa,2,negatif,saat melihat ulasan belanjaan saya pilih filter contohbintang atau saat saya scroll ke bawah malah muncul bintang yang bukan saya pilih filter nya kalau shopee bisa
ngga jelas,1,negatif,ngga jelas
keren,5,positif,keren
good,5,positif,good
menemukan solusi sangat lambat,1,negatif,menemukan solusi sangat lambat
keren sekali,5,positif,keren sekali
mantul,5,positif,mantul
dana sayah Belum di kembalikan kan sayah sudah membatalkan,1,negatif,dana sayah belum di kembalikan kan sayah sudah membatalkan
"Belanja disini sungguh ruwet, tokonya seperti nya nggak niyat jualan, aku sudah order hingga 4x tapi cuman diproses saja hingga di batalkan dan sekarang ku coba COD, jika ternyata dikirim maka pasti ku batalkan biar kapok tuh toko yang nawarin jual jengkel diriku pasti setelah ini pasti akan ku Uninstall ribet beli disini walaupun sudah 4 tahun langganan disini.",1,negatif,belanja disini sungguh ruwet tokonya seperti nya nggak niyat jualan aku sudah order hingga x tapi cuman diproses saja hingga di batalkan dan sekarang ku coba cod jika ternyata dikirim maka pasti ku batalkan biar kapok tuh toko yang nawarin jual jengkel diriku pasti setelah ini pasti akan ku uninstall ribet beli disini walaupun sudah tahun langganan disini
mantap terjamin,5,positif,mantap terjamin
"Seharusnya aplikasi ini gak dapet bintang, yaudah saya kasih bintang 1, Soalnya barang yang dikirim tidak sesuai!",1,negatif,seharusnya aplikasi ini gak dapet bintang yaudah saya kasih bintang soalnya barang yang dikirim tidak sesuai
terima kasih tokopedia,5,positif,terima kasih tokopedia
"oke lah, barang nya macam2 komplit..",5,positif,oke lah barang nya macam komplit
"𝑛𝑔𝑎𝑘 𝑠𝑒𝑚𝑢𝑎 𝑡𝑜𝑘𝑜 𝑏𝑖𝑠𝑎 𝐶𝑂𝐷,𝑑𝑎𝑛 𝑡𝑒𝑟𝑙𝑎𝑙𝑢 𝑚𝑎ℎ𝑎𝑙 𝑑𝑖 𝑜𝑛𝑔𝑘𝑖𝑟,𝑏𝑒𝑑𝑎 𝑡𝑜𝑘𝑜 𝑜𝑛𝑙𝑒𝑛 𝑙𝑎𝑖𝑛𝑛𝑦𝑎,𝑙𝑒𝑏𝑖ℎ 𝑚𝑢𝑟𝑎ℎ 🙏",5,positif, 
Sekarang pelayanan di tokopedia makin payah.masa order pakai kurir instan pakai Grab dari pagi jam 10 sampai jam 6 sore belum juga di kirim kirim .tidak seperti di toko Oren pakai kurir instan tidak sampai 3 jam barang udh sampai.lama lama saya uninstal juga ini Aplikasi tokopedi pundah ke toko oren,2,negatif,sekarang pelayanan di tokopedia makin payahmasa order pakai kurir instan pakai grab dari pagi jam sampai jam sore belum juga di kirim kirim tidak seperti di toko oren pakai kurir instan tidak sampai jam barang udh sampailama lama saya uninstal juga ini aplikasi tokopedi pundah ke toko oren
Harganya berubah saat check out,1,negatif,harganya berubah saat check out
mantap,5,positif,mantap
pesan sameday di kirim hari berikutnya 🫣🤭 ganti fiturnya jadi nextday dan instan saja biar jelas,1,negatif,pesan sameday di kirim hari berikutnya ganti fiturnya jadi nextday dan instan saja biar jelas
barang dan jenis pelayanannya tidak pernah mengecewakan .... 👍💪,5,positif,barang dan jenis pelayanannya tidak pernah mengecewakan 
"proses penarikan dana lama sekali !!!!!!!! Customer service, respon nya lama sekali !!!!!! tiba"" dana di hold !!!!",1,negatif,proses penarikan dana lama sekali customer service respon nya lama sekali tiba dana di hold 
"cs tidak komunikatif, tidak sopan memotong pembicaraan, tidak solutif, tidak punya empati, sumpah cs paling jelek yg pernah ku temui di dunia ini, nama onlinenya CS SITI !!!!!",1,negatif,cs tidak komunikatif tidak sopan memotong pembicaraan tidak solutif tidak punya empati sumpah cs paling jelek yg pernah ku temui di dunia ini nama onlinenya cs siti 
ga ada gratis ongkir tapi kasih notif gratis ongkir trus parah,1,negatif,ga ada gratis ongkir tapi kasih notif gratis ongkir trus parah
bagus,5,positif,bagus
ga ada gratis ongkir ya beli pakai aplikasi lain,1,negatif,ga ada gratis ongkir ya beli pakai aplikasi lain
"apl sangat berat dan sering crash, padahal shopee yg dulu berat sekarang di buat ringan",2,negatif,apl sangat berat dan sering crash padahal shopee yg dulu berat sekarang di buat ringan
aplikasi terjelek,1,negatif,aplikasi terjelek
tolong diperbaiki pendaftaran affiliate ngak bisa masuk,5,positif,tolong diperbaiki pendaftaran affiliate ngak bisa masuk
"TOKOPEDIA TIDAK BERTANGGUNG JAWAB JIKA LAYANAN DI KURIR TIDAK SESUAI. SAMEDAY TAPI DIJAWAB TOKOPEDIA CARE BARANG AKAN SAMPAI BESOK. Tokopedia care tidak menjadi solusi ketika ada kendala pengiriman, selalu antara solusi dan jenis komplain ga nyambung.",1,negatif,tokopedia tidak bertanggung jawab jika layanan di kurir tidak sesuai sameday tapi dijawab tokopedia care barang akan sampai besok tokopedia care tidak menjadi solusi ketika ada kendala pengiriman selalu antara solusi dan jenis komplain ga nyambung
"lelet banget toped,bukti foto pengiriman dari kurir aja kadang gajelas",1,negatif,lelet banget topedbukti foto pengiriman dari kurir aja kadang gajelas
narik dana sendiri lamanya mnta ampun gak kya apps lain lngsung gercep,2,negatif,narik dana sendiri lamanya mnta ampun gak kya apps lain lngsung gercep
jangan pakai paylater tokopedia denda telat sehari 50rb gila ni aplikasi mending uninstall aplikasi gila ini pindah ke aplikasi oren,5,positif,jangan pakai paylater tokopedia denda telat sehari rb gila ni aplikasi mending uninstall aplikasi gila ini pindah ke aplikasi oren
jelek banget nih aplikasi sejak gabung tiktok jijik,1,negatif,jelek banget nih aplikasi sejak gabung tiktok jijik
marketplace yang ga ada gratis ongkirnya,1,negatif,marketplace yang ga ada gratis ongkirnya
bagus dan cepat,5,positif,bagus dan cepat
Bisa belanja apa saja,5,positif,bisa belanja apa saja
lancar selalu tiap transaksi,5,positif,lancar selalu tiap transaksi
sangat tidak rekomended nyesal nyesal belanja di sini,1,negatif,sangat tidak rekomended nyesal nyesal belanja di sini
jelek,1,negatif,jelek
"biaya ongkir mahal, tidak seperti oren yang gak pelit gratis ongkir, belanja dibawah 15000 aja gratis ongkir",1,negatif,biaya ongkir mahal tidak seperti oren yang gak pelit gratis ongkir belanja dibawah aja gratis ongkir
kalau belanja online selalu pakai tokopedia terutama bauar bpjs tapi ntah kenapa kalau update besar banget memori hp sedikit lagi kalau bisa ni untuk update untuk data sistrm yang tidak dipakai dihapus je biar ringan aplikasi nya dengan catatan yang dihapus tidak mempengaruhi sistem keseluruhan ayolah bisa,1,negatif,kalau belanja online selalu pakai tokopedia terutama bauar bpjs tapi ntah kenapa kalau update besar banget memori hp sedikit lagi kalau bisa ni untuk update untuk data sistrm yang tidak dipakai dihapus je biar ringan aplikasi nya dengan catatan yang dihapus tidak mempengaruhi sistem keseluruhan ayolah bisa
"ka setelah update terakhir, menu yg ada dibawah termasuk home dan akun kok samar2 dan gak bisa dipencet ya?",5,positif,ka setelah update terakhir menu yg ada dibawah termasuk home dan akun kok samar dan gak bisa dipencet ya
keren!. co kompor listrik yang dateng shimano stella sw 2025,5,positif,keren co kompor listrik yang dateng shimano stella sw 
👍,5,positif,
biaya plus sangat mahal dan tidak releva,1,negatif,biaya plus sangat mahal dan tidak releva
pilihan terbaik untuk belanja kebutuhan ❤,5,positif,pilihan terbaik untuk belanja kebutuhan 
"Tokopedia luar biasa, banyak promo yang konsumen dapat. pengalaman sangat luar biasa ketika transaksi belanja menggunakan Tokopedia.",5,positif,tokopedia luar biasa banyak promo yang konsumen dapat pengalaman sangat luar biasa ketika transaksi belanja menggunakan tokopedia
"aplikasi yang keren, mempermudah belanja kebutuhan. sukses selalu buat tokopedia",5,positif,aplikasi yang keren mempermudah belanja kebutuhan sukses selalu buat tokopedia
bagus,3,netral,bagus
Banyak trm ksh🙏,5,positif,banyak trm ksh
belu,5,positif,belu
Tokopedia sekarang setiap belanja ongkirnya murah,5,positif,tokopedia sekarang setiap belanja ongkirnya murah
"mudah, cepat dan praktis dalam berbelanja",5,positif,mudah cepat dan praktis dalam berbelanja
menahan lama saldo orang withdraw sangat keterlaluan menurut saya,1,negatif,menahan lama saldo orang withdraw sangat keterlaluan menurut saya
"dikasih promo tapi hilang waktu mau dibayar, parah nipunya",1,negatif,dikasih promo tapi hilang waktu mau dibayar parah nipunya
josjiss,5,positif,josjiss
promonya buat apa kalau ndak bisa dipakai,1,negatif,promonya buat apa kalau ndak bisa dipakai
belanja di tokped aman dan cepat prosesnya,5,positif,belanja di tokped aman dan cepat prosesnya
untuk tim Tokopedia mohon untuk di rubah kurir rekomendasi nya saya melakukan order melalui J&T dari 5x pengiriman semuanya bermasalah di J&T,2,negatif,untuk tim tokopedia mohon untuk di rubah kurir rekomendasi nya saya melakukan order melalui jt dari x pengiriman semuanya bermasalah di jt
bagus banget aku suka semuanya gratis ongkir,5,positif,bagus banget aku suka semuanya gratis ongkir
pantesan skrg mau nyari barang bekas di tokped susah. mau jual barangnya aja super rudet dan membingungkan sekali harus buka aplikasi lain bukan diaplikasi yang sama mana aplikasi lemot padahal jaringan dan hp udah bagus. kalo pengen laku lagi balikin aplikasinya kaya dulu satu aplikasi untuk jual dan beli tidak beda beda aplikasi,1,negatif,pantesan skrg mau nyari barang bekas di tokped susah mau jual barangnya aja super rudet dan membingungkan sekali harus buka aplikasi lain bukan diaplikasi yang sama mana aplikasi lemot padahal jaringan dan hp udah bagus kalo pengen laku lagi balikin aplikasinya kaya dulu satu aplikasi untuk jual dan beli tidak beda beda aplikasi
"mudah,",5,positif,mudah
"dari semua e commerce yg ada,cuma disini saya kena tipu,barang sudah di retur ke penjual tapi tetap kena bayar,penjual no respon ( emang niatnya nipu ),kaga bakal saya belanja di sini lagi",1,negatif,dari semua e commerce yg adacuma disini saya kena tipubarang sudah di retur ke penjual tapi tetap kena bayarpenjual no respon emang niatnya nipu kaga bakal saya belanja di sini lagi
. m?o.au,2,negatif, moau
belum bisa ku buka dari tadi keluar masuk aplikasi GK jls,5,positif,belum bisa ku buka dari tadi keluar masuk aplikasi gk jls
ok banget,5,positif,ok banget
bagus,5,positif,bagus
"barang sesuai pesanan, terimakasih ... semoga bermanfaat",5,positif,barang sesuai pesanan terimakasih semoga bermanfaat
terimakasih barangnya oke semua di tokped,5,positif,terimakasih barangnya oke semua di tokped
banyak promonya. mudah lagi cara belanjanya gak ribet. mantpal pokoknya,5,positif,banyak promonya mudah lagi cara belanjanya gak ribet mantpal pokoknya
good job,5,positif,good job
sangat mengecewakan sekali tidak berpihak sama konsumen. dan banyak toko2 fiktif di tokopedia. sistem di proses nya terlalu lama. klo barang mau cepat di gunakan gk jamin sampai tau nya toko nya fiktif.,1,negatif,sangat mengecewakan sekali tidak berpihak sama konsumen dan banyak toko fiktif di tokopedia sistem di proses nya terlalu lama klo barang mau cepat di gunakan gk jamin sampai tau nya toko nya fiktif
top,5,positif,top
Terpadu,4,positif,terpadu
⁷⅞⁷ii,1,negatif,ii
"sistem sampah, pesanan gua dibatalkan tapi gak ada alasan apapun. mana yang gua beli barang yang gua lagi butuhin banget. BENER BENER SISTEM SAMPAHHHH",1,negatif,sistem sampah pesanan gua dibatalkan tapi gak ada alasan apapun mana yang gua beli barang yang gua lagi butuhin banget bener bener sistem sampahhhh
mudah diakses,4,positif,mudah diakses
ongkirny mahal sekali.. beda jauh dengan si oren,1,negatif,ongkirny mahal sekali beda jauh dengan si oren
lagi di rarasakeun 😀,5,positif,lagi di rarasakeun 
"menyebalkan, skrg buka youtube dan tiktok isinya toped dan toko sebelah mengganggu skl",4,positif,menyebalkan skrg buka youtube dan tiktok isinya toped dan toko sebelah mengganggu skl
mantap,5,positif,mantap
"Gua putuskan buat uninstall tokped . Akun gua yang sehat , ga dapet vc ongkir atau vc disct satupun . bahkan ga bisa ikut event karna ketentuan tokped ( yang jelek ) . Seperti biasa Setiap Event hanya pengguna TERPILIH , GA semua pengguna boleh ikut . Flash sale pun selalu eror . Jadi APA yang bikin MENARIK buat pake TOKOPEDIA? GA ADA WKWK Udah chat cs , cuma ada PENJELASAN . BUKAN PENYELESAIAN atas JALAN KELUAR . Gua Kecewa bgt atas apa yg terjadi",5,positif,gua putuskan buat uninstall tokped akun gua yang sehat ga dapet vc ongkir atau vc disct satupun bahkan ga bisa ikut event karna ketentuan tokped yang jelek seperti biasa setiap event hanya pengguna terpilih ga semua pengguna boleh ikut flash sale pun selalu eror jadi apa yang bikin menarik buat pake tokopedia ga ada wkwk udah chat cs cuma ada penjelasan bukan penyelesaian atas jalan keluar gua kecewa bgt atas apa yg terjadi
"terjadi kebocoran data tahun 2020 ,15juta data pengguna Tokopedia yg lama sudah di bobol, lalu apa tanggung jawab kalian, email saya dan jutaan pengguna sudah di jual belikan,? masih tidak bertanggung jawab? aplikasi anda tidak relevan dan aman sebaiknya berhenti menjadi aplikasi jual beli ataupun berpura-pura menjadi perusahaan aman, kalian sudah bukan perusahaan yang menjaga keamanan data pengguna melainkan perusahaan anomali yg merugikan pengguna, terimakasih telah merugikan 15 juta pengguna",1,negatif,terjadi kebocoran data tahun juta data pengguna tokopedia yg lama sudah di bobol lalu apa tanggung jawab kalian email saya dan jutaan pengguna sudah di jual belikan masih tidak bertanggung jawab aplikasi anda tidak relevan dan aman sebaiknya berhenti menjadi aplikasi jual beli ataupun berpurapura menjadi perusahaan aman kalian sudah bukan perusahaan yang menjaga keamanan data pengguna melainkan perusahaan anomali yg merugikan pengguna terimakasih telah merugikan juta pengguna
APLIKASI MAKSA DIKIT DIKIT ADA IKLAN NYA,1,negatif,aplikasi maksa dikit dikit ada iklan nya
mantap bisa beli produk apa saja lagi👍👍,5,positif,mantap bisa beli produk apa saja lagi
mantap,5,positif,mantap
"pengalaman belanja d shopee memang seru apalagi kalau ada obral barang.... waaaah semua orang pasti suka .... cari yg bagus tapi murah.... apalagi kalau ada harga obral sampai satu rupiah .... sibuuuuuk banget. .... tapi kadang kecewa kalau barang yg kita tunggu sangatlah mengecewakan tidak sesuai dengan ekspektasi .... aku beberapa kali mengalami...tapi aku sdh malas melakukan pengembalian barang cuma buang waktu apalagi kalau harganya tidak sesuai , aku palagi kalau bilang tidak menerima cod",5,positif,pengalaman belanja d shopee memang seru apalagi kalau ada obral barang waaaah semua orang pasti suka cari yg bagus tapi murah apalagi kalau ada harga obral sampai satu rupiah sibuuuuuk banget tapi kadang kecewa kalau barang yg kita tunggu sangatlah mengecewakan tidak sesuai dengan ekspektasi aku beberapa kali mengalamitapi aku sdh malas melakukan pengembalian barang cuma buang waktu apalagi kalau harganya tidak sesuai aku palagi kalau bilang tidak menerima cod
baik,5,positif,baik
"Kok jadi berat ya apk tokopedia sekarang, padahal dulu tidak begini. Jadi berbalik dengan yang sebelah.",3,netral,kok jadi berat ya apk tokopedia sekarang padahal dulu tidak begini jadi berbalik dengan yang sebelah
diskon scam blok,1,negatif,diskon scam blok
DISKON TOKOPEDIA makin gak jelas. beli 1 diskon 24%. tapi giliran beli 50pcs diskonnya jadi 4%..aplikasi apa ini. harusnya beli 1 harga normal. beli banyak dapat diakon besar...awas hati pengikut TOKOPEDIA harap perhatikan ketika mau CO. lebih transparan si ORANGE. dan 1 lagi dulu ada pilihan kurir cargo sekarang gak ada. padahal waktu itu member tokped. sekarang pilihan logistiknya gak ada cargo jadi ongkirnya di kasih gak ngotak. mendi di shopee sih lebih reel klo belanja.,1,negatif,diskon tokopedia makin gak jelas beli diskon tapi giliran beli pcs diskonnya jadi aplikasi apa ini harusnya beli harga normal beli banyak dapat diakon besarawas hati pengikut tokopedia harap perhatikan ketika mau co lebih transparan si orange dan lagi dulu ada pilihan kurir cargo sekarang gak ada padahal waktu itu member tokped sekarang pilihan logistiknya gak ada cargo jadi ongkirnya di kasih gak ngotak mendi di shopee sih lebih reel klo belanja
si hijau kalah sama si oren dan merah,1,negatif,si hijau kalah sama si oren dan merah
mantap Tokopedia memang ok,5,positif,mantap tokopedia memang ok
"kecewa berat sama service dari Tokopedia cuma pergantian no hp aja harus selfie KTP dan itu pula ditolak jadi malas belanja di sini,Gua saranin temen teman kalau belanja online di Shoppe atau gak Blibli disana gak ribet",1,negatif,kecewa berat sama service dari tokopedia cuma pergantian no hp aja harus selfie ktp dan itu pula ditolak jadi malas belanja di sinigua saranin temen teman kalau belanja online di shoppe atau gak blibli disana gak ribet
good,5,positif,good
susah d gunakan,3,netral,susah d gunakan
good,5,positif,good
nice,5,positif,nice
tersedia segala macam model dan kwalitasnya terjamin memuaskan pembeli!,5,positif,tersedia segala macam model dan kwalitasnya terjamin memuaskan pembeli
belanja lebih hemat,5,positif,belanja lebih hemat
ok,5,positif,ok
nice app,5,positif,nice app
"Semakin kesini semakin gak masuk akal masalah ongkir , yups .. gk heran sih pada beralih ke si orange . Mungkin mulai 2026 sampai seterusnya bakal ditinggal konsumen ... Dan buat yang masih stay dan setia disini silahkan aja . Semoga kalian tidak bernasib sama seperti saya ☺️",1,negatif,semakin kesini semakin gak masuk akal masalah ongkir yups gk heran sih pada beralih ke si orange mungkin mulai sampai seterusnya bakal ditinggal konsumen dan buat yang masih stay dan setia disini silahkan aja semoga kalian tidak bernasib sama seperti saya 
Sangat membantu,5,positif,sangat membantu
Bagus,5,positif,bagus
"Banyak penjual Logam Mulia Palsu di Tokped. Harap berhati-hati! Setelah dana dikirim ke penjual anda tidak bisa berharap banyak, Tokped pun tidak bisa berbuat banyak. Tokped seharusnya segera menutup toko2 penipu dan perketat aturan. Kasian sama pembeli!",1,negatif,banyak penjual logam mulia palsu di tokped harap berhatihati setelah dana dikirim ke penjual anda tidak bisa berharap banyak tokped pun tidak bisa berbuat banyak tokped seharusnya segera menutup toko penipu dan perketat aturan kasian sama pembeli
"tolong di perbaiki lagi, tidak ada tombol pembatalan pesanan,proses refund nunggu hari kerja. tolong diperbaiki",3,netral,tolong di perbaiki lagi tidak ada tombol pembatalan pesananproses refund nunggu hari kerja tolong diperbaiki
"mengapa saya tidak bisa melaporkan toko yang bermasalah ,selalu stak di putih terus di aplikasinya",3,netral,mengapa saya tidak bisa melaporkan toko yang bermasalah selalu stak di putih terus di aplikasinya
terpecaya,5,positif,terpecaya
sangat bagus,5,positif,sangat bagus
Sistem TOKOPEDIA sgt buruk sekali. Tidak Amanah..Sangat memalukan sekali..Uang 27 ribu saja pun mau di makan sm mereka. Tokopedia care tidak berguna ya..sama sekali tidak membantu Buat kalian yg jualan disini Produk kalian kapan saja bisa di hapus mereka dengan sesuka hati dan tanpa ada notifikasi ya Intinya kalian bakal nyesel berjualan disini Buat yang ada belanja disini HATI HATI ya ...perhatikan dana kalian sebelum dan sesudah transaksi... Dan Masih banyak lagi Masalah dan Keluhan disini ..,1,negatif,sistem tokopedia sgt buruk sekali tidak amanahsangat memalukan sekaliuang ribu saja pun mau di makan sm mereka tokopedia care tidak berguna yasama sekali tidak membantu buat kalian yg jualan disini produk kalian kapan saja bisa di hapus mereka dengan sesuka hati dan tanpa ada notifikasi ya intinya kalian bakal nyesel berjualan disini buat yang ada belanja disini hati hati ya perhatikan dana kalian sebelum dan sesudah transaksi dan masih banyak lagi masalah dan keluhan disini 
Bagus,1,negatif,bagus
TIDAK DI REKOMENDASI BUAT YANG MAU BERJUALAN DI SINI KARENA SELLER TIDAK BISA MEMILIH PENGIRIMAN YANG COCOK.,1,negatif,tidak di rekomendasi buat yang mau berjualan di sini karena seller tidak bisa memilih pengiriman yang cocok
"apk belanja jelek, pesanan saya diterur tiba² dengan alasan pembeli menolak pesanan padahal saya ga merasa menolak pesanan, gajelas bangkrut ajaa sono klo gitu terus mah ,kebiasaan",1,negatif,apk belanja jelek pesanan saya diterur tiba dengan alasan pembeli menolak pesanan padahal saya ga merasa menolak pesanan gajelas bangkrut ajaa sono klo gitu terus mah kebiasaan
"maps untuk menentukan titik alamat tidak akurat tolong di perbaiki. saat sudah menentukan titik dan meng-kilk ""pilih lokasi ini"" titik lokasi akan pindah jauh dari titik sebelumnya(bukan 1 atau 2 meter tapi lebih dari 100 meter!).Kemudian saat saya coba untuk memajukan titik lokasi sedikit (mencoba agar terdeteksi aplikasi) dan saat mengklik nya lagi memang bisa dan titik yang diinginkan tidak pindah, namun alamatnya malah berubah menjadi kota lain! dan itu berjarak lebih dari 20 km titik awal!!",2,negatif,maps untuk menentukan titik alamat tidak akurat tolong di perbaiki saat sudah menentukan titik dan mengkilk pilih lokasi ini titik lokasi akan pindah jauh dari titik sebelumnyabukan atau meter tapi lebih dari meterkemudian saat saya coba untuk memajukan titik lokasi sedikit mencoba agar terdeteksi aplikasi dan saat mengklik nya lagi memang bisa dan titik yang diinginkan tidak pindah namun alamatnya malah berubah menjadi kota lain dan itu berjarak lebih dari km titik awal
oke,5,positif,oke
e3 44$$33#4$2 😂 😂 6,3,netral,e 
