content,score
oke,5
e3 44$$33#4$2 😂 😂 6,3
"aplikasi sudah bagus dan mudah di gunakan,tapi ada beberapa hal yang harus di perbaiki yaitu terkadang sering ngeleg dan tidak mau di pencet. aku tidak tahu ini dari aplikasi atau dari handphone saya... tapi selain itu sudah bagus dan juga saya sangat suka aplikasi ini karena tidak terlalu berat di timbang aplikasi sebelah yang sangat berat... terimakasih (⁠・⁠∀⁠・⁠)",5
enak bertransaksi,5
good,5
mantap bos ku,5
benahi lagi,5
"tgl. 1 pebruari 2026 akun saya kena penipuan. ada yg beli pulsa 2 transaksi via tokopedia senilai masing2 1 juta, padahal saya tdk beli pulsa, lucunya koq berhasil. akun gopay later saya dibobol orang jahat. Saya langsung lapor ke layanan tokopedia, dijawab oleh tokopedia sistem keamanan gojek, saya kontak gojek, gojek jawab transaksi ada di tokopedia. Pesan saya tolonglah tokopedia lebih cermat dalam investigasi, saya yakin orang programer bisa menemukan hal. janggal dlm transaksi digital.",4
"udah gak bisa lihat ulasan sebelumnya, punya orang lain, tolong diperbaiki lagi",1
parah sekarang,1
"kocak, nunggu barang udh seminggu sekali terus di retur terus. 2x kaya gitu. Tokopedia tolol",1
"saya belanja di toped sangat memuaskan , jika ada komplen gercep responya toped",5
"mana hadiah nya ada promo 800ribu, hadiah setelah belanja 2 item saya🥴 promo nya jebakan atau gimana boss",1
data tidak aman,1
mantap udah diperbarui terimakasih,5
"maps tidak bisa dititik ke alamat rumah, sehingga driver sering nyasar, malah kelempar ke RW sebalah",1
"selalu dapat harga promo,terimakasih",5
bagus,5
marketplace paling oke dah... semua bisa transaksi di sini,5
"Apk tokped jadi dongo bgt sekarang, mau chat penjual lewat daftar transaksi susah malah loading terus. dan suka force close. mending sebelah",1
Mantappp,5
maNtuL,5
"2026 masih awal, buka aplikasi minta update mulu,seminggu buka 3 x minta update semua, bapuk banget aplikasi model gini,",1
udah bayar ga ada update,1
Gratis ongkir nya gak nempel,1
"males beli di tokped itu. Seller bnyk yg slow respon, then ongkir mahal². Mending Shoopee aja lah",1
"banyak toko nipunya, terus di back up sama tokped",1
lemot ah toped lag lag terus perbaiki lah,3
"pencari barang jelek banget, kayak jaman zadul alias kurang userfriendly. kalau di tiktok sudah modern tapi harga di pencarian beda banget waktu akan dipesan. jadi terpaksa beli dexh",1
TDK sesuai dgn apa yg di unggulkan saya beli barang 2 kali dah dibayar proses sangat lambat,1
ok,5
Bagusssa,5
👍🙏,5
dola tumbal ikan 🇨🇳🇯🇵🌾🦈🦈,4
aplikasi terkadang lambat,4
"kenapa tidak bsa pembayaran lewat dana atau via yg lain?, apa hrus pke gopay doang?.",1
nice app,5
keren,5
"masa belanja barangnya ga dikirim sih oleh penjual, terus duit refunnya kmna aku mau pakai lagi kok nggk ada, sy cek di virtual accauntny pun ga tertera, trs duit sy dikirim lewat mana coba, mknya kasih dompet digital di dlm aplikasinya dong seperti lazada noh bagus jelas duitnya balik nggk ribet. dipermudah dong jgn ribet. 👎👎👎",1
"sudah 3 Minggu tidak mendapat kupon gratis ongkir, sampai sekarang kupon gratis ongkir saya kosong 😓",2
mempermudah qta dalam berbelanja,5
bagus mudah hemat,5
jika ga dapat bonus 250 rb saya piralkan,5
puas keren aplikasi ini,5
jelek,1
buat toko pedia jgn menerima toko yg curang ingin maju lagi saya belanja sensor TVS barang TDK sampai uang ga kembali lagi ke saya tolong di perbaiki lagi sistemnya,2
jangan.di.buat.ribet.aplikasinya.di.per.mudah.jd.orang.enak.mudah.mendwonludnyamk,2
"Trimakasih Tokopedia pembayaran lbih mudah dan aman,smga byak promo ...",5
masa iya makin kesini tiktok koin bisa kepake dikit amat meskipun belanja jutaan. jadi ga guna koin,1
"ternyata gratis ongkir itu mengada Ngada alias GK ada , hoax dan bersyarat, ongkir mahal & Rentan pembocoran data pribadi & Dijual ke Pihak lain serta mudah dimanipulasi oleh pihak jasa pengiriman , jgn bayar via elektronik , rentan barang diganti oleh pihak J&T sebaiknya COD saja ,",1
ok yes,5
ulasan pembeli susah di buka?!,4
mantab dan mudah sekali pembayaran nya,5
sangat bagus,5
mantap,5
iklan lu kek tae,1
sangat puas,5
baru coba,1
"kebijakan tiap bulan makin zonk, voucher nya, cashback nya, coin nya, seenak jidat ubah ubah, bikin event seolah menarik, buyer tertarik belanja, event nya ngilang gitu aja, ppk",1
"👉ajhieb bin marqothob,..",5
"promonya scam ya, tiap mau transaksi pake promo selalu transaksi tidak berhasil. giliran gapake promo malah berhasil..",1
"buruk sekarang. lemotnya bukan main, percuma itu setiap transaksi ada biaya layanan. tapi tidak di gunakan utk mengembangkan cloud",3
pengirman mahal2 estimasi reguler apk parah lah ini...,1
bagus,4
oke mntp,5
sangat bagus dan amanah,4
mantab,5
mantap,5
"ini Tokopedia knp stiap saya beli pulsa slalu gagal, ada ap dengan tokped",1
"kecewa anjayyy, disuruh verfikasi terlebih dahulu agar bisa melihat produk liquid dan pods. habis verfikasi malah cuman beberapa hari bisanya, lain kali kalau memang tidak bisa melihat produk itu di hp buatkan fitur dong untuk tidak usah menampilkan perintah verifikasi aja sekalian dari pada kayak seperti ini",1
tampilan list barang saat browsing sering hilang sendiri,1
ga dapet gratis ongkir,1
Jelek ndak ada gratis ongkirnya,1
"selamat malam Kak, boleh tolong Cara bayar Gopayleter di Tokopedia yg tidak muncul gimana yah.... Kenapa hilang kalau mau bayar di akhir bulan",1
"tidak mau pengambilan dana kalau barang tidak sampai, nggak kaya shopee langsung acc pengembalian dananya",1
"itu pengiriman JNE Hapus aja kalo bisa lelet banget ngirimnya, udah berapa hari sekalinya lagi di anter dari pagi jam 8 sampe jam 8 malem juga blom sampe sampe heran Ama kurirnya, pake sepeda kali ya nganternya",1
harganya paling murah dibandingkan online shop lainnya 👍👍👍,5
BARANG MURAH IN CI KALU BUAT SY ONGKOS MURAH IN KALU BUAT SY SEDANG MISKIN,5
transaksi cepat,5
mudah dan cepat,5
"Makin kesini,seller"" nya makin slow respon,pengiriman lama dll",1
"Tolong boikot jasa pengiriman JNE karena sangat busuk sekali, nanti di tambah bintangnya",1
Bagus👍,5
", 😚🤨😋🤨🤨🤨🤨🤨🤨😋🤨🤨🤨😋😌😋🤨🤨🤨🤨🤨🤨😋😋😋🤨😌😌😌😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😌😋🤨🤨🤨🤨🤨🤨",4
"aplikasi sampah, data gw terjual di internet gara² ini tokped, jan di donwload lagi bagi orang² yang mau datanya aman.",1
ongkirnya ga ngotak,1
ongkirnya mahal,1
"iklan lu di Webtoon busuk bgt, selalu tiba² kebuka sendiri aplikasi lu",1
buruk,1
jelek ga dikasih gratis ongkirnya,1
good,5
"promo ga beres, pengiriman juga ga beres",1
sya pesan hp samsung s ultra sesuai gmbr tkt nya tdk sesuai barang nya jg gmbr poating hrga tdk sesuai jg rugi,1
pelit bebas ongkir,1
promo tidak berlaku aplikasi rusak,1
kenapa gabisa kirim video di chat? fitur ini sangat dibutuhkan untuk bukti unboxing ke penjual karena beberapa penjual gamau lihat pengajuan komplain. tolong dibuat fitur kirim video di chat.,3
apaan coba transaksi batal Dana tidak dikembalikan sekali dikembalikan cuma nominal transaksi diskonnya padahal adminnya juga lumayan kenapa gak dikembalikan sekalian #cariuntungsendiri,2
masak pengguna baru tidak ada diskonnya sama sekali ongkir juga mahal2,1
terbaik,5
ok,5
percaya banget sama tokopedia,5
"Baru pertama kali buat akun Tokopedia dan aku langsung coba mau co barang tapi ketika mau bayar sekarang tidak bisa dengan alasan promo tidak berlaku padahal promo itu untuk pembelian pertama, aku coba hilangkan centang promonya dan harganya langsung berubah drastis dan aku buka aplikasi shoppe untuk membandingkan harga produk tersebut ternyata produk di shoppe jauh lebih murah di bandingkan Tokopedia, baru pertama kali mau pakai aplikasi Tokopedia langsung kecewa",1
sudah agak lebih baik,4
suka,5
mntap,5
promo tidak berlaku? trus kenapa ada promonya? mau nipu harga? gila bener,1
gak usah kerja sama ama jnt,1
maaf bintang 1 aja soalnya saya download apk ini masa pas saya mainan game tiba tiba iklan nya ginian terus dan juga saya gak mencetin apa² malah masuk sendiri iklan nya emang GR banget,1
aplikasi yg bagus buat beli barang barang hobi,5
saya termasuk yg puas dengan layanan Tokopedia. tapi sudah sebulan lebih saya tidak bisa melihat fitur toko favorit. cek saldo Tokopedia juga ga bisa. selalu saja ada gangguan dari Tokopedia. padahal lihat fitur yg lain oke aja. jaringan internet juga gacor. tolong diperbaiki lagi. masa mo lihat saldo ga bisa.,3
"kebanyakan seller yg bukan official ga dikirim barangnya, ga amanah. sehingga batal sistem. jadi rugi voucer.",1
pemerintah harusnya turun tangan dengan monopolinya spx,4
harga jadi mahal waktu pembayaran,1
mantap betul rekomendasi buat segala transaksi di Tokopedia,5
seruuu sekali belanja di aplikasi ini barang barang yang saya trima setelah belanja di sin tidak pernah mengecewakan sama sekali,5
slalu amanah dan di percaya,5
gaperna dapet voucher gratis ongkir,1
haturthxyu pelayanan yang mantabs,5
.bissmillah.assalamu.alaikum.insah.allah.salam.buat.ramadan.apa.kabar.di.sana.dan.satu.keluarga.insah.allah.mudah.2.an.masih.di.beri.kesenpatan.allah.suhbahana.dan.juga.masih.bisa.berjuan.seterus.nja.amiin.dari.a.s.niv.pirdaus.anak.rantau.sekian.dan.terimah.kasih.assalamu.alaikum.perjuang.kan.sanpai.tuntas.bissmillah.allamduh.lillah.,5
voucher xtra ngga ada. harga mahal2 euy,1
ini ya saya bayar cicilan KPR 2 gagal terus ketika di tarik uang nya sampe sekarang belum balik.. ini gimana pertanggung jawaban nya tolong konfirmasi nya karna di tokped ga bisa chat sama cs langsung...,1
"voucher xtra jrg banget dapet, payah Tokopedia. harga jadi mahal2",1
mantaaps,5
sangat bagus,5
BB hh hj hhh ibu e JJ bn h tol Jagorawi ww i bweh,4
dinantikan,5
thanks kak,5
"sekian tahun pake gopay, baru kali ini ada transaksi pake gopay later tanpa diketahui tanpa konfirmasi keamanan kena 500rb, waktunya uninstall",1
"pelayanan agak lama, saya pesan bibit ikan beberapa mati dan katanya ada gratis pakannya tapi GK ada",2
semoga aja aplikasi ini jujur amanah dan tidak ilegal dan amanat dan di percaya ke seluruh indonesia maupun luar..dan juga kalau pun ini menipu tolong di tegas kan para .... konsumen biar gak jera ...trimakasih...,5
sangat membantu,5
"kurirnya parah udh 3harian ga dikirim"" payah Tokopedia",2
pelayanan ok,5
pakai Bang Dana ga ribet muantap puas buanget,5
hutang 6jt saya bayar lunas walaupun telat. K05 nama Bi caking saya jelek .kurang ngajar..tau gitu mending enggak saya bayar . mau kredit motor di tolak.. BI caking jelek.. sangat luar biasa.... hebat...aplikasi yg sangat luar biasa..,1
mantap,5
metode pembayaran sangat memudahkan proses pembelian,5
gercep,5
Terima Kasih 🙏,5
aplikasi terpercaya dan paling lengkap 🤗,5
"baguss skali , membantu",5
banyak harga promo dan discoun,5
mantap banyak diskon gaess suks banget pakai apk ini semogaa diskon nya teruss terusann dan lebih banyak lagi diskonnya makasih pihak tokped dann store store yang pada jaga kualitas dan suka memberi diskon,5
mantap joss,5
"Iklannya mengganggu. SPAM. Bikin hp ngehang, dan rusak",1
"Sudah lama tidak belanja di Tokped, coba buka2 hari ini karena ada item yg dicari, dan dapat voucher promo. Giliran di check out, keluar notif ""anda tidak memenuhi syarat mendapatkan promo"". ""What ?"" akhirnya bertanya2 ""kenapa diberi voucher potongan?"". ya sudah... hapus barang di keranjang, beresss... beli di toko oren gak ribet...",1
sangat memuaskan belanja di tokopedia,5
lebih hemat,5
jozz,5
Pertahankan terus ya. Terimakasih.,5
terpercaya,5
perbanyak jasa pengiriman,3
semoga voucher diskonannya bisa kembali seperti dulu lagi yg mendiskon barangnya sampai 50% tanpa minimal pembelian & juga potongannya sampai 35.000 seperti tahun² kemarin.n adakan setiap 2 minggu sekali seperti toko sebelah👍👍👍😁😁,5
ni tokped server nye jadul dan lemot yeee....dasboard aje di perbarui hal yg ga penting....yg penting itu layananan ga lemot bukan dasboard yg ribet ....pembeli ga perlu yg ribet2 ...pembeli suka yg gampang di cari ga lemot....aman........ni tokped lemot amat si,3
Cepat dan bagus 👍👍,5
lebih ditingkatkan lagi,5
"tokopedia tolong jangan hold saldo saya yang saya kirim ke rekening bca, kembalikan saldo saya secepatnya, saya butuh urgent.",1
"aneh kali lah aplikasi ini, saya sudah menyesuai titik rumah saya dengan tepat tapi kenapa kode posnya beda",3
terimakasih toko pedia,5
"lebih teliti,waspada aksi-aksi penipuan,sukses slalu semoga usahanya lancar.",5
ok,5
"janji ada penggantian cashback 7 hari kerja, ternyata sudah 1 bulan tidak cair2 juga, parah sih, padahal saya pengguna setia tokopedia",1
gacor,5
aplikasi keren,5
beli paket tv,1
makasih sudah memberikan yang terbaik,5
IKLAN LO NGESELIN,1
ok,5
ok,5
mengapa aplikasi ini crash tiba tiba for close saya kecewa padahal saya ingin mwmbeli casing,1
edan,5
Mantap❤️❤️,5
"Munculin lagi dong fitur pencarian sekaligus, karna itu sangat ngebantu banget saat kita cari 2 barang atau lebih di toko yang sama dengan cepat... please",5
"fitur pembayaran eror untuk perangkat saya tulisan ""transaksi error"" tolong segera di perbaiki takut nya tulisan error tapi sistem ngecheck out",1
bagus murah dan originally,5
Mantap,5
pelayanan yang sangat bagus 😍 dan pengiriman paket yang sangat cepat,5
bagus sekali.membantu belaja agar lebih hemat🥰,5
"aplikasi yang sangat dibutuhkan, dalam pencarian produk, aman, cepat, profesional, sesuai dengan diskripsi. dan packing rapi.",5
good,5
Tertarik program penghasilan nya dan ingin bergabung dgn bimbingannya,2
"dari awal sudah download,, masih keluar mulu tiap buka youtube gj",1
kenapa sekarang Tokopedia repot sekali proses refund dana ke rekening saya sudah 1minggu status masih proses,1
sangat membantu,5
belanja nya di Tokopedia aja gak bakalan kecewa.,5
"saya sudah berkali-kali komplain tidak memiliki transaksi pembelian tagihan barang Cicilan gak ada respon, di tambah di telp gak bisa di hubungi hanya bisa melalui chat. terus barang yang di cancel masuk tagihan, saya sudah komplain ke bank, dari bank suruh dia Tokopedia nya. di bulak balik tanpa menyelesaikan masalah. saya sangat kecewa. padahal dari awal adanya tokped saya sudah percaya banget. tapi kecewa nya luar biasa, susah buat menyelesaikan masalah, tolong perbaiki pelayanannya.",1
"Ekspedisi apa tu, SAP ga berubah estimasi nya saya cek, prediksi saya 2 hri smpai ni,",1
kirain susah eeh ga taunya gampang,5
📱🍋😀,5
rasa kapok memasan ditokopedia nieh lama bngt pengirimanx..klu.tunai pembyran.pasti lama.pengiriman..barang cuma kecil z eminasi tanggal.berubah..gk becus..adminx,1
top,5
top,5
Aplikasi pengganggu blokir aja banyak iklan gak jelas,1
bagus dan gk ribet,5
"udah ga bagus, sellernya kebanyakan yang ngawur. beli apa yang dateng apa. Mau belanja malah jadi ribet, datengnya lama, barang ga sesuai, malah buang-buang waktu.",1
sangat membantu,5
keren dan sangat membantu sekali,5
mending beli toko ofline harga lebih murah,1
udah modal langganan plus mlah dihentikan langganan plus nya,1
mantaf,5
entut masa akun gak bisa lepas bingung,1
diskonya kurang,3
sangat baik,5
saya mau lagi mau main ada iklan terus Tokopedia,1
ok,5
Good 👍,5
mantap aku suka ini,5
Bagus,5
"TOKO ONLINE GA JELAS, DAPAT VOUCHER PROMO TIDAK BISA DIPAKAI",1
tidak bisa menyelesaikan masalah,1
"Lemottttt, aplikasi gampang eror",1
belanja simple tidak ribet dan barang di pastikan baik sesuai kemampuan konsumen,5
Tokopedia cs tidak membantu permasalahan,1
bagus.,5
sudah ga mampu kasih gratis ongkir parah,1
suka banget akuu,5
ngasih diskon sendiri tapi dipakai diskonnya hilang jadi harga normal,1
Akun Tokopedia saya di blokir. Saya diminta menghubungi Tokopedia care. Tapi saya tidak bisa menghubungi Tokopedia care karena harus login. Sedangkan saya tidak bisa login karena terblokir.,1
"bobrok bgt dana refund saya 5 juta nyangkut gada kabar, hubungin cs ga respon, paraaaaaaaaaaaah",1
olshop kok ga ada bebas ongkirnya,1
top,5
tokopedia emang ga ada gratis ongkir ya?,1
good boy,5
"tolong diperbaiki scroll di tokped akhir"" ini semakin berat, waktu di kembali ke halaman selanjutnya selalu refresh barang yg baru. sering menyusahkan kalo kita sedang mencari barang yg dimaksud,",1
belanja lebih mantab,5
voucher gratis ongkir aja ndak ada,1
untuk transaksi pembayaran ok,5
ga ada gratis ongkir aplikasi ampas,1
"harganya ga sesuai, jadi mahal waktu check out. diskon dan bebas ongkirnya hilang semua",1
barang sesuai pengiriman cepat,5
"Aplikasi sampah, gede banget bunga keterlambatan paylater, mending di shopee, kurang ajar nih aplikasi",1
bebas ongkirnya ga kaya aplikasi sebelah banyak. ini 2x doang sudah habis ga ada gratis ongkirnya lagi,1
"kurir paling gila yang pernah aku temui,,, barang ngga pernah di bawa2 tiba2 sdh di batalkan bgtu saja,, alamat sdh lengkap WA ngga pernah di jawab,, paling gila betull kurir pengirim ini,,, tdk lagi pesan di sini.....",1
"sangat membantu kalau cari barang di tempat lain susah,",5
"sejak 2026 tambah buruk aplikasi, sejak gabung sama tiktok tambah jelek 👹👺👹👺 banyak mall aja masih jualan produk palsu.",1
sipsip,5
"makin ke sini makin sering error tiap kali mau transaksi, tolong diperbaiki lagi dong sistemnya",3
parah toko tiba² ditutup permanen padahal tidak melanggar sama sekali,1
barang nya murah murah dan bagus suka,5
"saya uninstal aplikasi ini, karena sudah tidak ada gratis ongkirnya, ganti ke shopee yang konsisten gratis ongkir,",2
sangat membantu,5
mantaaap,5
aplikasi rese,1
"di akun ku udah diperbarui tp g ada tuh ""kejar ketupat"" ko diakun² lainnya ada ya,aneh aja beda sendiri...",2
tidak suka... sangat menggangu,1
ok,5
masih oke,5
kepada Tokopedia bagaimana cara agar pengajuan kartu kredit Tokopedia bisa disetujui untuk modal usaha dan kebutuhan mendesak sehari hari dan kredit barang mohon bantuannya terima kasih 🙏🏻,5
Goodjob!,5
kalau tidak bisa di proses jangan iklan kan barang tsb. uangnya hilang barang tidak dikirim.,1
"sistem tolong di benahi, pesanan sering di return. ketika dipesan ulang..tiba2 Doble barangnya, gak di bayar kurirnya udah depan rumah.. akhirnya terpaksa harus bayar karena kasihan sama kurirnya. sebagai konsumen saya merasa dirugikan dengan sistem begini.",3
"seenaknya nahan duit orang, yang salah penjual ga update stok tapi duit konsumen ditahan. selesai masalah ini gw uninstall ini aplikasi. merasa dirugikan gw belanja Disini kaya gini caranya",1
"makin hari makin ribet time out terus,minta update terus tapi bukan nya membaik malah semakin buruk ini aplikasi...(sangat mengecewakan)",1
👍🏻,5
"iklannya buruk bgt, ganggu main game aja",1
update muluuu,2
menggangu iklam trus,1
ok,5
apa android 6 ga bisa buka Tokopedia ?,3
"Aplikasi apaan dah? Lo Kirain gw soltan, ongkir kok bisa sampe 100% dri harga barang. Mending toko oren sebelah klo gini mah Scammm",1
"transaksi gampang, dan prodak nya sesuai",5
"skor kredit saya slama ini tdk ada masalah , dan pembayaran saya pun tidak pernah telat , tapi knp paylater saya tidak bisa di gunakan sudah hampir 2 bulan maka dengan maaf saya kasih bintang sati , dan saya aka unistal apk tok ped",1
proses gak ribet cepat,4
okkkk bgtttttttttttttttt,5
"Tokped kenapa ya , kok error gini jadi susah mau cari barang ... Biasa lancar2 aja",1
pelit gratis ongkir,2
sangat puaas dengan pelayananya,5
"terimakasih Toped sy sbg p engguna baru,, banyak voucher sangat cuan bisa belanja di mall dari rumah",5
kurg bgus ni,1
lumayan,3
barang nya bagus,5
"dapet promo murah 3 toples coklat dilan tau tau dibatalkan sistem,tanya ke penjual katanya sudah dikirim,ini berarti ada yang ngajakin dri pihak apk nya",1
"bagus, lebih mahal dri sebelah tapi voucher dincount nya ga pelit",5
membantuku,5
NICE 🗿🙏🏿,5
aplikasi sampah sangat merugikan sekali. pesan barang lalu di batalkan sama sistemnya lalu narik saldonya gak bisa.,1
"apk gajelas, mau nyari produk kesalahan jaringan mulu padahal jaringan bagus",1
sejak gabung dgn tiktok semakin ga jelas susah dan berat,1
sejak gabung dgn tiktok semakin ga jelas. mau tarik hasil penjualan sajah di persulit,1
tidak bisa beli gagal mulu kode promo tidak bisa diclaim,1
apk yang bagus,5
Saya happy jika belanja di Tokopedia,5
"g dapat barang nya karena kata yg jual abis, giliran duit balik, malah duit nya berkurang bukan karena nilai rupiah nya tp sistem nya... lucu aja, g dapat barang malah tekor",1
pelayanan cepat semoga berkah,5
mantap,5
tolong kembalikan tokped yg dulu sekarang mau jual barang ribet banget. kasih saran aja kalo tetep kaya gini dengan skema tiktok rating tokped anjlok terus.,1
sekarang tokopedia payah uda ga ada gratis ongkir lagi beda sama apk yg laen,1
Mantap belanja dengan harga diskon yang memuaskan,5
Tokopedia is the best 👍💯,5
senang belanja di toped byk discounnys,5
mantap lah,4
admin CS tidak memberikan solusi yg baik . saya di rugikan oleh sistem toped yg tidak sinkron .,1
pengiriman sangat sangat lambat,3
top,5
"sangat senang,belanjaan jadi murah semuanya.sangat membantu saya yg punya kendala keuangan,pokonya sangat rekomend bangettt dengan adanya tokopedia.sangat menguntungkan,bagi saya untuk membeli barang di sini.semua barang nya hampir mendapatkan diskon besar-besaran.jadi saya akan menggunakan tokopedia untuk mengatur pembelanjaan saya dan produk- produk di sini hampir semuanya ada dan sangat murah sekali jika di beli,tolong untuk mempertahankan diskon yg besar-besaran ini,sangat membantu trma ksh.",5
bintang satu klo saldo gw ga balik ya..,5
gajeee masa dana refund gabisa balik,1
respon cs lambat,1
"banyak seller yg gak fast respon, gak bisa buat dadakan",1
"Dulu waktu jualan pulsa, paket data, token pasca bayar dan top-up ewalet sgt lancar tapi tiba² mitra TokopediaCare lenyap alias di tutup harus langsung transaksi di app TokopediaCare harganya semuanya berubah dengan terpaksa aku cari aplikasi ageng pulsa/digital yang lain di play store",4
praktis dan cepat,5
minta cashback di akun ini,5
ajing,1
mantappp sekali,5
gak bisa cod,1
rekomen,4
"barangnya cpt sampai n byk promo annya, pokoknya happy shoping dsini",5
sangat bermanfaat sekali untuk mempermudah belanja online 👍👍👍,5
apknya lemot,1
perfect,5
"Bagus, aman, terpercaya",5
baik,5
sy suka dengan apk ini'untuk belanja onlain,3
trmksh toko pedia,5
"tokopedia gacor sih, meskipun baru 3× belinya juga tapi oke lah, mantap👍👌",4
sangat baik,5
"Fitur bagus tapi àplikasi sangat sulit di akses, lelet lambar dan sangat berat dalam menggunakannya, sangat disayangkan padahal fitur fiturnya bagus dan promonya masih cukup bersaing dengan olshop yg lain, semoga ini bisa menjadi pertimbangan pihak toped.",1
senang nya saya bisa berbelanja d li tokopedia,5
saya sangat senang sekali rasanya memiliki banyak manfaat untuk keperluan peralatan dan apapun yang saya butuhkan untuk semua cod di aplikasi ini,5
alham dulilah dengan ada nya pembelian online sangat terbantu,5
mntap,5
bagus,5
barang bagus,5
"mengesalkan sekali skema iklannya di YouTube,jadi males pakai aplikasinya,padahal sudah cukup nyaman belanja pakai aplikasinya,cuma iklan2 di YouTube menjengkelkan",1
bagus,5
Bagus,5
mantap banyak promo,4
fitur dan diskon melimpah,5
"aplikasi semakin berat, tolong perbaiki bug-nya. scroll berasa ujian kesabaran karna patah patah. sudah diperbarui tapi masih lemot kalo buat scroll. suka tiba tiba error juga",3
suka banget banyak diskonnya,5
murah sippp,5
sangat lengkap apa yg di inginkan ada,5
aplikasi nyepam terus. tiba² muncul terus. pengaturan udah di nonaktifkan. cachrle udah dibersihkan. tp aplikasi muncul terus,1
"segalanya mudah dalam berbelanja, lengkap dan terpercaya",5
belanja lebih efektif. pelayanan. pengiriman paling cepat dr yg lainnya terima kasih Tokopedia aku suka. aku sukaaa aaa...,5
"bagus, gratis ongkir tpi masih ada ongkirnya anh jg sihh",4
mantappp👍👍👍👍,5
iklan mulu ajg di goggle ribet bnget,1
Kecewa sama tokped. Sebenarnya niat ngasih voucher ga sihhhh?? Pesan 5 barang semuanya di batalin. Kalau ga niat ngasih voucher mending ga usah di adain promo promo deh kalau ujung ujungnya pesanannya nanti di batalkan.,1
"mahal di ongkir aja, barang standar",1
kacau ikaln toped dimana mana,1
"aplikasi gak jelas gak guna, masih enak pakai soppe, lazada huhhhh",1
"gada event kejar ketupat di akun saya, ditanya ke cs alesannya krna melanggar/melakukan aktivitas ga wajar, pdhl make tokped aja jarang bisa² nya dituduh kek gitu",1
applikasi yg lambat,1
Sangat membantu,5
coba dlu,4
good,5
tambah lama harga barangnya mahal2,1
bagus ok,5
sudah tidak dikasih gratis ongkir,1
ini bagaimana tolong dari pihak Tokopedia bantu dana saya di akun ga bisa di tarik. pengaduan via chat sudah berkali kali hanya di jawab mohon tunggu. sekelas Tokopedia jangan hanya ambil untung nya saja tapi tolong bantu pengaduannya. perusahaan kere ga punya modal,1
tambah lama ga tambah banyak promonya malah tambah ga ada bebas ongkirnya,1
kalau harganya mahal jangan dimurah murahin lah. begitu mau beli jadi mahal habis habisin waktu orang aja,1
"Pengalaman bbrp hari ini : dua (2) kali memesan barang, dua (2) kali pula dibatalkan oleh system.. System Tokopedia mengecewakan..",2
PERTINGKATKAN LAGI KUALITAS JASA EKSPEDISI PENGIRIMAN DAN MEMBER NYA JUJUR DAN BERINTEGRITAS... DALAM SELEKSI KARYAWAN HARUS BENAR-BENAR MATANG... TERIMAKASIH!!!,5
Alhamdulillah sering dapat diskon,5
terimakasih,5
kerennn mantap,5
aku suka amanah dan terpercaya,5
"Belanja di toko pedia puas banget,banyak diskonnya...",5
hp murah murah,5
MANTAPPP,5
Toko yang bagus,5
entah kenapa udah gak pernah dapet gratis ongkir lagi,1
mantap,5
👍👍🙏,5
"bagus cuman kalau refund saldo malah jadi punya Tokopedia, dan mau gamau harus dipake lagi, gamasalah sih kalau harus pake lagi tapi kadang saldo kurang dan gabisa di apa apain karna gaada fitur topup saldo",5
"Aplikasi tidak stabil, perbaiki lagi masih banyak bug.",1
manttap,5
"aku kasih bintang 1 karena setiap mau beli sesuatu selalu gagal dan setiap mau transaksi selalu muncul notif seperti ini ""Oops, terjadi kendala. transaksi tidak dapat di proses (1)"" maksudnya apaan woy padahal aku member baru di Tokopedia hadeeeh",1
lagi mau beli barang malah ga ada gratis ongkirnya ya pindah sebelah aja,1
"sebenernya aku gk niat download apk ini, cuma karena spam iklan terus akhirnya aku download.... selain harga mahal dibanding yg oren apk ini banyak penipuanya..",1
"mahal amat, harga barang sama ongkirnya mahal ongkirnya",1
banyak bug promo aja bisa tidak berlaku,1
sangat membantu,5
gercep👍👍👍,5
harganya berubah mahal waktu mau bayar gila bener cari uangnya,1
top,5
mana ini gratis ongkirnya,1
ga ada diskon gede,1
Tolong pas mau beli dikasih dulu opsi untuk cara beli supaya tidak salah pencet kayak saya pengen pake gopay buat beli tapi kepencet tombol beli dan malah BCA cara belinya alhasil saya harus chat sellernya dan minta tolong dia untuk menbatalkan transfer tolong perbaiki masalah ini,1
gratis ongkir aja ga ada apalagi diskon. developernya udah kere,1
promo tidak berlaku dari mana nya? bilang aja promo cuman buat jebakan harga,1
jelek mau dibayar diskonnya tiba2 hilang,1
"buruk aplikasinya, harga berubah mahal waktu check out",1
"mahal2, masa dapet gratis ongkir cuman 1x",1
amana,5
mantap,5
pengembalian dana lama dan harga produk relatif mahal,4
ok,5
kebanyakan iklan anjir,1
"sangat membantu dalam membandingkan harga sebelum membeli barang, meski sering belanja disini dibanding yg sebelah tp akhir akhir ini aplikasi sering hang..tiba tiba loading lama....pdhal kuota ada....ram hp cukup , memory masih lega.....",3
mantap,5
good,5
sering tidak bisa buka chat,1
transaksi gagal 2x pembelian paket data,1
mudah,5
terrrrrrrrrrrrbaikkkkk!!!,5
"Alhamdulillah selalu baik bin bagus supplier2nya, terima kasih",5
"pusing ongkir nya, mahal dari harga barang. cuma panasin layar hp",2
Sesuai pesanN,5
